标准名,标准类型,标准性质,标准状态_x,起草单位,起草人,基本信息_x,相近标准,标准详情,标准英文名,基本信息_y,相关图书,英文名,标准状态_y,标准目录,标准范围,标准引用文件,标准术语,标准内容
空间科学及其应用术语  第7部分：微重力科学,国家标准,推荐性,现行,"['中国科学院力学研究所', '中国科学院物理研究所', '中国科学院理论物理研究所', '中国科学院上海光学精密机械研究所', '华中科技大学']","['康琦', '段俐', '王双峰', '潘明祥']","[('标准号', 'GB/T 30114.7-2014'), ('发布日期', '2014-12-05'), ('实施日期', '2015-04-01'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20111191-T-491 ', '20111187-T-491 ', '20111186-T-491 ', 'GB/T 30114.3-2014 ', 'GB/T 30114.2-2014 ', '20111190-T-491 ', '20100979-T-491 ', 'GB/T 30114.6-2014 ', 'GB/T 30114.1-2013 ', '20111188-T-491 '], '标准名': ['空间科学及其应用术语  第7部分：微重力科学', '空间科学及其应用术语  第3部分：空间天文', '空间科学及其应用术语  第2部分：空间物理', '空间科学及其应用术语  第3部分：空间天文', '空间科学及其应用术语  第2部分：空间物理', '空间科学及其应用术语  第6部分：航天医学', '空间科学及其应用术语  第1部分：基础通用', '空间科学及其应用术语  第6部分：航天医学', '空间科学及其应用术语  第1部分：基础通用', '空间科学及其应用术语  第4部分：月球与行星科学'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E59D6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F398D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F102D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5C1BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5367A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D801B6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB50D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6A80A3B7E05397BE0A0AC6BF']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=5C75B7A54C1037F2107B4ADF5EA3E41C,,,,,,,,,,
空间微重力流体物理 流场光学测量技术规范 第1部分：阴影法、纹影法,国家标准,推荐性,现行,['中国科学院力学研究所'],"['胡良', '康琦', '段俐']","[('标准号', 'GB/T 30113.1-2013'), ('发布日期', '2013-12-17'), ('实施日期', '2014-07-15'), ('中国标准分类号', 'A42'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20100980-T-491 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', 'DB37/T 4355—2021 ', 'DZ/T 0248-2014 ', 'SY/T 4100-1995 ', ' ', '20191262-T-607 ', 'SY/T 7307-2016 ', 'DB32/T 3869-2020 '], '标准名': ['空间微重力流体物理 流场光学测量技术规范 第1部分：阴影法、纹影法', '空间科学及其应用术语  第7部分：微重力科学', '空间科学及其应用术语  第7部分：微重力科学', '浅海区海底重力测量技术规程', '岩石地球化学测量技术规程', '滩海工程测量技术规范', '大功率LED的光学测量', '大功率LED的光学测量', '致密油气储层岩石物理实验室测量技术规范', '土地整治项目测量技术规范'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E520EA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/db/search/stdDBDetailed?id=BDDDABFE586A54C1E05397BE0A0A4678', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F25400BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F25F56BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=5DDA8B9DA8B418DEE05397BE0A0A95A7', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EAF02A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F20110BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/db/search/stdDBDetailed?id=B7BE16C46C832F6AE05397BE0A0AEF3D']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=6C29C5B00EA3857C12F9BBD7D7228C3E,,,,,,,,,,
地球同步轨道通信卫星有效载荷在轨测试方法,国家标准计划,修订,推荐性,"['中国空间技术研究院通信与导航卫星总体部', '中国航天标准化研究所', '中国卫通集团股份有限公司', '中国人民解放军63921部队', '中国人民解放军61096部队']","['马强', '徐汝军', '杨博', '郑育红', '钟良玉', '索洪海', '杨冬雪', '温妍', '祁圣君', '屈会鹏', '蒋龙城', '郭新哲', '孙海燕', '魏振超', '许冬彦', '夏维娜', '张博翰']","[('计划号', '20192214-T-469'), ('制修订', '修订'), ('项目周期', '24个月'), ('下达日期', '2019-07-12'), ('全部代替标准', 'GB/T 12639-1990'), ('标准类别', '方法'), ('中国标准分类号', 'V70'), ('国际标准分类号', ' '), ('归口单位', ['全国宇航技术及其应用标准化技术委员会']), ('执行单位', ['全国宇航技术及其应用标准化技术委员会']), ('主管部门', ['国家标准化管理委员会']), ('投票日期', '2018-04-17~2018-04-26'), ('通过率', '82.98%'), ('投票日期', '2021-01-27~2021-01-31'), ('通过率', '100.00%')]","{'标准号': ['GB/T 12639-2021 ', ' ', 'GB/T 12639-1990 ', '20120075-T-520 ', 'GB/T 29080-2012 ', ' ', '20184250-T-339 ', 'GB/T 34829-2017 ', '20141349-T-491 ', ' '], '标准名': ['地球同步轨道通信卫星有效载荷在轨测试方法', '通信卫星有效载荷性能的在轨测试方法', '通信卫星有效载荷性能的在轨测试方法', '地球同步轨道通信卫星飞行结果评定', '地球同步轨道通信卫星飞行结果评定', '无线电频谱资源审计方法 第7部分：C/Ku频段静止轨道通信卫星及卫星通信网频率和轨道资源评估', '无线电频谱资源审计方法 第7部分：C/Ku频段静止轨道通信卫星及卫星通信网频率和轨道资源评估', '空间站应用有效载荷数据通信规范', '空间站应用有效载荷数据通信规范', '无线电频谱资源审计方法 第6部分：C/Ku频段静止轨道通信卫星及卫星通信网数据采集'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=CA6C0E542CE2C983E05397BE0A0AED11', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=69F45CF7B032B0E2E05397BE0A0AE6A2', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7BB28D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E47F2A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EAE0D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=5DDA8B9DC27C18DEE05397BE0A0A95A7', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EA58AA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D81BF8D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E60E4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=5DDA8B9DC69718DEE05397BE0A0A95A7']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=,,,,,,,,,,
空间站应用有效载荷安全性、可靠性与维修性保证通用要求,国家标准,推荐性,现行,['中国科学院空间应用工程与技术中心'],"['王功', '王伟', '方嫚', '伏洪勇', '刘悦', '施建明', '刘亦飞']","[('标准号', 'GB/T 35439-2017'), ('发布日期', '2017-12-29'), ('实施日期', '2018-04-01'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20141348-T-491 ', ' ', '20201552-T-801 ', 'GB/T 3187-1994 ', 'GB/T 34829-2017 ', '20141349-T-491 ', 'SY/T 6295-2006 ', '20070291-T-347 ', ' ', 'GB/T 21562-2008 '], '标准名': ['空间站应用有效载荷安全性、可靠性与维修性保证通用要求', '空间站应用有效载荷通用设计要求', '空间站应用有效载荷通用设计要求', '可靠性、维修性术语', '空间站应用有效载荷数据通信规范', '空间站应用有效载荷数据通信规范', '石油钻采设备可靠性、维修性预计方法', '轨道交通  可靠性、可用性、可维修性和安全性规范及示例', '核电厂可靠性、可用性、可维修性和安全性管理规范', '轨道交通  可靠性、可用性、可维修性和安全性规范及示例'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E999EA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=908A072313060A9FE05397BE0A0A4B29', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBABDA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7962ED3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D81BF8D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E60E4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F1D88ABB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E17FEA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=BABBED6B3CB96876E05397BE0A0A2B29', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D76DCCD3A7E05397BE0A0AB82A']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=EB0A77B938A4432DFE8CC0CD995649B8,"General requirement of safety, reliability and maintainability assurance for the application payloads of space station","{'标准号': 'GB/T 35439-2017', '标准性质': '推荐性', '发布日期': '2017-12-29', '实施日期': '2018-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '王功; 王伟; 方嫚; 伏洪勇; 刘悦; 施建明; 刘亦飞', '起草单位': '', '标准技术委员会': '全国空间科学及应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '49_020', '总页数': '16', '纸质版定价': '18'}","{'书名': ['第一届空中交通管理系统技术学术年会论文集', '多旋翼无人机的设计与制作', '世界军机涂装历史大百科', '航空模型设计与制作'], '作者': ['中国指挥与控制学会', '陆元杰', '胡其道', '张成茂']}",,,,,,,
空间站应用有效载荷数据通信规范,国家标准,推荐性,现行,['中国科学院空间应用工程与技术中心'],"['闫蕾', '曹素芝', '宫永生', '吴少俊', '房亮']","[('标准号', 'GB/T 34829-2017'), ('发布日期', '2017-11-01'), ('实施日期', '2018-05-01'), ('中国标准分类号', 'L78'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20141349-T-491 ', ' ', '20201552-T-801 ', '20141348-T-491 ', 'GB/T 35439-2017 ', ' ', '20201395-T-491 ', 'DB23/T 1938-2017 ', ' ', 'GB/T 12639-1990 '], '标准名': ['空间站应用有效载荷数据通信规范', '空间站应用有效载荷通用设计要求', '空间站应用有效载荷通用设计要求', '空间站应用有效载荷安全性、可靠性与维修性保证通用要求', '空间站应用有效载荷安全性、可靠性与维修性保证通用要求', '空间有效载荷再飞要求', '空间有效载荷再飞要求', '水环境数据通信协议规范', '通信卫星有效载荷性能的在轨测试方法', '通信卫星有效载荷性能的在轨测试方法'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E60E4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=908A072313060A9FE05397BE0A0A4B29', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBABDA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E999EA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D828CAD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=86D31D8D19F00DCBE05397BE0A0A1DE0', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBFA2A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D9C6F2E24E05397BE0A0A3A10', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=69F45CF7B032B0E2E05397BE0A0AE6A2', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7BB28D3A7E05397BE0A0AB82A']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=761FCD8075822A8B1B7B2615F111DE18,Space station specification of utilization payload data communication,"{'标准号': 'GB/T 34829-2017', '标准性质': '推荐性', '发布日期': '2017-11-01', '实施日期': '2018-05-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '闫蕾; 曹素芝; 宫永生; 吴少俊; 房亮', '起草单位': '', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'L78', '国际标准分类号': '35_020', '总页数': '16', '纸质版定价': '18'}","{'书名': ['多视点视频编码的关键技术', '新连接：互联网+产业转型，互联网+企业变革', '嵌入式安全处理器应用与实践', '独角兽之路：20款快速爆发且极具潜力的互联网产品深度剖析'], '作者': ['孟丽丽 谭艳艳 张化祥', '李志刚等', '工业和信息化部人才交流中心', '三节课产品社区']}",,,,,,,
运载火箭和有效载荷分离点轨道要素计算最佳实践,国家标准,推荐性,现行,['北京航天自动控制研究所'],"['禹春梅', '柳嘉润', '吕新广', '徐国强', '曹洁', '徐帆', '巩庆海']","[('标准号', 'GB/T 32300-2015'), ('发布日期', '2015-12-31'), ('实施日期', '2016-07-01'), ('中国标准分类号', 'V73'), ('国际标准分类号', ' '), ('归口单位', ['全国宇航技术及其应用标准化技术委员会']), ('执行单位', ['全国宇航技术及其应用标准化技术委员会']), ('主管部门', ['国家标准化管理委员会'])]","{'标准号': ['20131894-T-520 ', ' ', '20220136-T-469 ', '20131896-T-520 ', 'GB/T 32455-2015 ', ' ', '20213407-T-469 ', '20131893-T-520 ', 'GB/T 32454-2015 ', '20131897-T-520 '], '标准名': ['运载火箭和有效载荷分离点轨道要素计算最佳实践', '运载火箭轨道级处置详细要求', '运载火箭轨道级处置详细要求', '运载火箭术语', '运载火箭术语', '运载火箭运输通用要求', '运载火箭运输通用要求', '运载火箭飞行结果分析与评定', '运载火箭飞行结果分析与评定', '运载火箭与航天器接口要求'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EA627A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=C9AA506A4BAD21FAE05397BE0A0A99E5', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673ED667A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E571AA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D80EAFD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=BA2EBE6A54763369E05397BE0A0ADADA', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673ECA10A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E7C71A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D80EE7D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6E40A3B7E05397BE0A0AC6BF']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=071E606A1AEC7C58B13A39E78E37A539,,,,,,,,,,
空间高能天文数据存档格式,国家标准,推荐性,现行,"['中国科学院高能物理研究所', '中国科学院国家空间科学中心', '中国科学院空间应用工程与技术中心']","['宋黎明', '郑世界', '刘元', '葛明玉', '李承奎', '聂建胤', '徐鹤', '佟继周', '纪珍', '李云龙', '黑保琴']","[('标准号', 'GB/T 37846-2019'), ('发布日期', '2019-08-30'), ('实施日期', '2019-12-01'), ('中国标准分类号', 'A46'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20142506-T-491 ', '20142505-T-491 ', 'GB/T 35440-2017 ', ' ', 'SY/T 5453-1996 ', 'QX/T 546—2020 ', 'SY 5453-1992 ', '20020554-T-466 ', 'GB/T 17798-2007 ', '20111187-T-491 '], '标准名': ['空间高能天文数据存档格式', '空间高能天文辐射源命名规范', '空间高能天文辐射源命名规范', '空间高能天文科学观测提案评估规范', '地震数据处理成果带存档记录格式', '空间高能粒子辐射效应术语', '地震资料处理成果带存档纪录格式', '地理空间数据交换格式', '地理空间数据交换格式', '空间科学及其应用术语  第3部分：空间天文'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5EF4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E9282A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8261CD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=CC9A99BD630A954BE05397BE0A0A7DCC', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F26448BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=A64CCA4062F3EBE9E05397BE0A0AE8A0', 'http://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F22906BB19E05397BE0A0AB44A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E0A72A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7823ED3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=F20126239644ABC25A674CFF206A70E1,,,,,,,,,,
空间高能天文辐射源命名规范,国家标准,推荐性,现行,"['中国科学院高能物理研究所', '南京师范大学']","['宋黎明', '刘元', '葛明玉', '赵海辉', '李承奎', '郑世界', '徐鹤']","[('标准号', 'GB/T 35440-2017'), ('发布日期', '2017-12-29'), ('实施日期', '2018-04-01'), ('中国标准分类号', 'A46'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20142505-T-491 ', '20142506-T-491 ', 'GB/T 37846-2019 ', ' ', '20061905-T-517 ', 'GB/T 13366-1992 ', 'GB/T 13366-2009 ', ' ', '20215006-T-607 ', '20090971-T-607 '], '标准名': ['空间高能天文辐射源命名规范', '空间高能天文数据存档格式', '空间高能天文数据存档格式', '空间高能天文科学观测提案评估规范', '工业仪表用铯 137γ辐射源', '工业仪表用铯-137γ辐射源', '工业仪表用铯 137γ辐射源', '紫外辐射源的辐射测量方法', '紫外辐射源的辐射测量方法', '脉冲光辐射源光谱辐射测量方法'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E9282A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5EF4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=91890A0DA61180C6E05397BE0A0A065D', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=CC9A99BD630A954BE05397BE0A0A7DCC', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E2292A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D76182D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7CA09D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B72D1A9DD75827C2E05397BE0A0A73AD', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673ED8BBA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E324FA3B7E05397BE0A0AC6BF']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=DC488CCE3D586CA0971D886BC864984D,,,,,,,,,,
空间科学及其应用术语  第3部分：空间天文,国家标准,推荐性,现行,"['中国科学院高能物理研究所', '中国科学院紫金山天文台', '中国科学院国家天文台', '中国科学院上海技术物理研究所', '中国科学技术大学', '中国科学院西安光学精密机械研究所']","['宋黎明', '黄跃', '邓劲松', '崔辰州', '许春']","[('标准号', 'GB/T 30114.3-2014'), ('发布日期', '2014-12-05'), ('实施日期', '2015-04-01'), ('中国标准分类号', 'V04'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20111187-T-491 ', '20111186-T-491 ', 'GB/T 30114.2-2014 ', '20111191-T-491 ', 'GB/T 30114.7-2014 ', '20111190-T-491 ', '20100979-T-491 ', 'GB/T 30114.6-2014 ', 'GB/T 30114.1-2013 ', '20111188-T-491 '], '标准名': ['空间科学及其应用术语  第3部分：空间天文', '空间科学及其应用术语  第2部分：空间物理', '空间科学及其应用术语  第2部分：空间物理', '空间科学及其应用术语  第7部分：微重力科学', '空间科学及其应用术语  第7部分：微重力科学', '空间科学及其应用术语  第6部分：航天医学', '空间科学及其应用术语  第1部分：基础通用', '空间科学及其应用术语  第6部分：航天医学', '空间科学及其应用术语  第1部分：基础通用', '空间科学及其应用术语  第4部分：月球与行星科学'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80B6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E59D6A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F102D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E45C3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7F3B3D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5C1BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5367A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D801B6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7EB50D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E6A80A3B7E05397BE0A0AC6BF']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0895F6DA44F4C9D107D7CF8EBD3DFE1B,,,,,,,,,,
空间材料科学实验 地面匹配试验规范,国家标准,推荐性,现行,"['中国科学院物理研究所', '中国科学院空间应用工程与技术中心', '中国科学院金属研究所', '中国科学院上海硅酸盐研究所', '中国科学院国家空间科学中心', '中国科学院半导体研究所', '中国科学院上海技术物理研究所']","['王彬彬', '丁大伟', '陶新', '罗兴宏', '温海琴', '潘秀红', '于强', '郑福', '尹志刚', '陆液']","[('标准号', 'GB/T 41215-2021'), ('发布日期', '2021-12-31'), ('实施日期', '2022-07-01'), ('中国标准分类号', 'V10'), ('国际标准分类号', ' '), ('归口单位', ['全国空间科学及其应用标准化技术委员会']), ('执行单位', ['全国空间科学及其应用标准化技术委员会']), ('主管部门', ['中国科学院'])]","{'标准号': ['20190619-T-491 ', ' ', '20153876-T-491 ', 'GB/T 37844-2019 ', '20153875-T-491 ', 'GB/T 37469-2019 ', ' ', '20214098-T-491 ', '20120919-T-491 ', 'GB/T 32527-2016 '], '标准名': ['空间材料科学实验 地面匹配试验规范', '空间材料科学实验 地面匹配实验规范', '空间材料科学实验  固体实验样品制备规范', '空间材料科学实验  固体实验样品制备规范', '空间材料科学实验 样品管理规范', '空间材料科学实验 样品管理规范', '空间材料科学实验 实验样品安瓿设计与封装规范', '空间材料科学实验 实验样品安瓿设计与封装规范', '空间材料科学实验装置  多功能高温炉设计规范', '空间材料科学实验装置  多功能高温炉设计规范'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EAC2BA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=6CDC7585E86FB1DAE05397BE0A0A9E96', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E7727A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=91890A0DA60E80C6E05397BE0A0A065D', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E772AA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=8AA1F5D36E44A8DBE05397BE0A0AB19B', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=B53E97718C11A7DFE05397BE0A0AF863', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673ED968A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E4B06A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D80DCBD3A7E05397BE0A0AB82A']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=9C5AECDA9339D15D31D10A3C874FB390,,,,,,,,,,
